Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Vietnam,Price / Vietnam,Compare At Price / Vietnam,Included / International,Price / International,Compare At Price / International,Status
freewheeler,Freewheeler,"<p class=""des des_1"" data-mce-fragment=""1""><span data-mce-fragment=""1"">IronCaptivate with this shirt’s versatile urban look that works as well at happy hour as it does in the back yard. The real mother of pearl buttons and embroidered crocodile complete its elegant appeal.Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridicu lus mus. Donec quam felis, ultri cies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim.</span></p>
<p class=""des des_1"" data-mce-fragment=""1""> </p>
<h4 data-mce-fragment=""1"">Sample Ordered Lista</h4>
<ol class=""style_type_2"" data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Comodous in tempor ullamcorper miaculis</li>
<li data-mce-fragment=""1"">Pellentesque vitae neque mollis urna mattis laoreet.</li>
<li data-mce-fragment=""1"">Divamus sit amet purus justo.</li>
<li data-mce-fragment=""1"">Proin molestie egestas orci ac suscipit risus posuere loremous</li>
</ol>
<br data-mce-fragment=""1"">
<h4 data-mce-fragment=""1"">Sample Paragraph Text</h4>
<p class=""des des_2"" data-mce-fragment=""1"">Nullam quis feugiat libero. Phasellus quis molestie massa. Donec in enim sed ex commodo auctor. Nam sagittis volutpat sollicitudin. Fusce sed erat pulvinar nulla aliquet ullamcorper vel et velit. Aliquam a quam ligula. Sed malesuada pulvinar vulputate. Vivamus pharetra metus nulla, a molestie quam luctus eget. Mauris orci risus, consectetur consequat metus quis, mollis eleifend eros.</p>
<p class=""des des_2"" data-mce-fragment=""1"">Sed quis quam sapien. Quisque convallis est enim, et fermentum massa consectetur non. Nam vel ante tempus, venenatis mi eget, tempus libero. In elementum nisi velit, nec mattis eros laoreet quis. Ut purus lacus, ultricies eget elit sed, tincidunt dapibus ligula. Praesent nisl magna, vehicula quis nulla eu, egestas viverra velit. Aliquam sodales, massa eu aliquam porttitor, urna magna venenatis tellus, eget pellentesque sem eros id ex. Cras convallis lacus sit amet nisl porta, sit amet semper lacus sodales.</p>",Vinova MotorGear,,Motorcycle,"Gloves, Goggles, Racing",true,Title,Default Title,,,,,"",0.0,shopify,20,deny,manual,35000.00,40000.00,true,true,"",https://cdn.shopify.com/s/files/1/0674/7173/7051/files/motorcycle-6_1d60c640-3f3c-4e47-9d8e-c2a68c85930b.png?v=1703132774,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
freewheeler,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/7173/7051/files/motorcycle-4_1b2f8322-aa62-4fa7-ae70-1cf861103897.png?v=1703132774,2,,,,,,,,,,,,,,,,,,,,,,,,,,
freewheeler,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/7173/7051/files/motorcycle-1_8de229f6-939d-4c16-aee5-dd39369c4b1c.png?v=1703132775,3,,,,,,,,,,,,,,,,,,,,,,,,,,
freewheeler,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/7173/7051/files/motorcycle-2_5b1410cc-7add-4437-b3d9-2a4adcb4a73c.png?v=1703132775,4,,,,,,,,,,,,,,,,,,,,,,,,,,
freewheeler,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/7173/7051/files/motorcycle-3_99112296-f05b-49ba-af0b-978981874700.png?v=1703132775,5,,,,,,,,,,,,,,,,,,,,,,,,,,
freewheeler,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/7173/7051/files/motorcycle-5_b73dde18-67da-4e95-9613-6bf6c7465063.png?v=1703132775,6,,,,,,,,,,,,,,,,,,,,,,,,,,
heritage-classic,Heritage Classic,"<p class=""des des_1"" data-mce-fragment=""1""><span data-mce-fragment=""1"">IronCaptivate with this shirt’s versatile urban look that works as well at happy hour as it does in the back yard. The real mother of pearl buttons and embroidered crocodile complete its elegant appeal.Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridicu lus mus. Donec quam felis, ultri cies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim.</span></p>
<p class=""des des_1"" data-mce-fragment=""1""> </p>
<h4 data-mce-fragment=""1"">Sample Ordered Lista</h4>
<ol class=""style_type_2"" data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Comodous in tempor ullamcorper miaculis</li>
<li data-mce-fragment=""1"">Pellentesque vitae neque mollis urna mattis laoreet.</li>
<li data-mce-fragment=""1"">Divamus sit amet purus justo.</li>
<li data-mce-fragment=""1"">Proin molestie egestas orci ac suscipit risus posuere loremous</li>
</ol>
<br data-mce-fragment=""1"">
<h4 data-mce-fragment=""1"">Sample Paragraph Text</h4>
<p class=""des des_2"" data-mce-fragment=""1"">Nullam quis feugiat libero. Phasellus quis molestie massa. Donec in enim sed ex commodo auctor. Nam sagittis volutpat sollicitudin. Fusce sed erat pulvinar nulla aliquet ullamcorper vel et velit. Aliquam a quam ligula. Sed malesuada pulvinar vulputate. Vivamus pharetra metus nulla, a molestie quam luctus eget. Mauris orci risus, consectetur consequat metus quis, mollis eleifend eros.</p>
<p class=""des des_2"" data-mce-fragment=""1"">Sed quis quam sapien. Quisque convallis est enim, et fermentum massa consectetur non. Nam vel ante tempus, venenatis mi eget, tempus libero. In elementum nisi velit, nec mattis eros laoreet quis. Ut purus lacus, ultricies eget elit sed, tincidunt dapibus ligula. Praesent nisl magna, vehicula quis nulla eu, egestas viverra velit. Aliquam sodales, massa eu aliquam porttitor, urna magna venenatis tellus, eget pellentesque sem eros id ex. Cras convallis lacus sit amet nisl porta, sit amet semper lacus sodales.</p>",Vinova MotorGear,,Motorcycle,"Gloves, Helmet, Racing",true,Title,Default Title,,,,,"",0.0,shopify,20,deny,manual,16000.00,18000.00,true,true,"",https://cdn.shopify.com/s/files/1/0674/7173/7051/files/motorcycle-5_df7ef93d-13e7-4e09-9de4-29c1480f8ffd.png?v=1703132669,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
heritage-classic,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/7173/7051/files/motorcycle-3_decd7f0e-065a-4fef-84d0-23120984cf3b.png?v=1703132669,2,,,,,,,,,,,,,,,,,,,,,,,,,,
heritage-classic,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/7173/7051/files/motorcycle-1_a8982a35-98aa-491b-a259-af035791e661.png?v=1703132670,3,,,,,,,,,,,,,,,,,,,,,,,,,,
heritage-classic,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/7173/7051/files/motorcycle-4_36091cc4-ef8c-46ef-a6c1-ef3286210f13.png?v=1703132670,4,,,,,,,,,,,,,,,,,,,,,,,,,,
